system:time_start,precipitationCal
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0.012
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0.001
"Jun 13, 2018",0.001
"Jun 13, 2018",0.001
"Jun 13, 2018",0.002
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0.001
"Jun 13, 2018",0.001
"Jun 13, 2018",0.002
"Jun 13, 2018",0.002
"Jun 13, 2018",0.001
"Jun 13, 2018",0.001
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 13, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0.001
"Jun 14, 2018",0.001
"Jun 14, 2018",0.002
"Jun 14, 2018",0.002
"Jun 14, 2018",0.001
"Jun 14, 2018",0.001
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0.001
"Jun 14, 2018",0.001
"Jun 14, 2018",0.002
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0.003
"Jun 14, 2018",0.004
"Jun 14, 2018",0.002
"Jun 14, 2018",0.001
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 14, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0.008
"Jun 15, 2018",0.011
"Jun 15, 2018",0.029
"Jun 15, 2018",0.054
"Jun 15, 2018",0.081
"Jun 15, 2018",0.152
"Jun 15, 2018",0.164
"Jun 15, 2018",0.001
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0.001
"Jun 15, 2018",0.022
"Jun 15, 2018",0.115
"Jun 15, 2018",0.009
"Jun 15, 2018",0.04
"Jun 15, 2018",0.108
"Jun 15, 2018",0.016
"Jun 15, 2018",0.018
"Jun 15, 2018",0.01
"Jun 15, 2018",0.003
"Jun 15, 2018",0
"Jun 15, 2018",0.024
"Jun 15, 2018",0.026
"Jun 15, 2018",0.028
"Jun 15, 2018",0.05
"Jun 15, 2018",0.051
"Jun 15, 2018",0.025
"Jun 15, 2018",0.021
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 15, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0.003
"Jun 16, 2018",0.002
"Jun 16, 2018",0.001
"Jun 16, 2018",0.001
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0.002
"Jun 16, 2018",0.003
"Jun 16, 2018",0.003
"Jun 16, 2018",0.001
"Jun 16, 2018",0.001
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0.052
"Jun 16, 2018",0.002
"Jun 16, 2018",0.001
"Jun 16, 2018",0.001
